CustomerID,Gender,SeniorCitizen,Tenure,Contract,InternetService,MonthlyCharges,TotalCharges,Churn
1,Male,0,43,Month-to-month,Fiber optic,18.25,2569.8162356418584,Yes
2,Female,0,63,Month-to-month,DSL,18.25,1166.35743457952,No
3,Male,0,39,Month-to-month,DSL,40.04553794410866,18.8,Yes
4,Male,0,5,Month-to-month,Fiber optic,81.92582798357365,3287.847851619264,Yes
5,Female,0,71,Two year,No,22.26334695983939,3777.2361246831006,No
6,Male,0,42,Month-to-month,Fiber optic,118.3138009223921,3791.6367908035018,No
7,Female,0,31,Two year,Fiber optic,101.05267947953246,1664.1454515978621,No
8,Female,0,48,Two year,DSL,49.914734757986395,2855.774726149724,No
9,Male,0,18,Two year,DSL,41.10498839766959,805.5718266044387,No
10,Male,0,51,One year,DSL,70.878391090398,6074.100602202365,No
11,Female,0,51,Month-to-month,DSL,21.23138606348249,4871.768889518873,Yes
12,Male,0,33,Month-to-month,Fiber optic,18.25,4732.98017460617,Yes
13,Female,0,58,One year,No,50.974012766017744,4078.4667077436543,No
14,Male,0,4,Month-to-month,DSL,60.765132128284044,3456.7156713846734,No
15,Male,0,65,Month-to-month,No,67.64225945304126,18.8,Yes
16,Female,0,40,One year,DSL,46.29630745485167,3714.0606013552992,No
17,Female,1,33,Two year,DSL,103.14579655719592,2537.9250113234834,No
18,Female,0,53,Two year,DSL,19.7962962796351,5141.783016498783,Yes
19,Female,1,19,Month-to-month,DSL,30.538309737761224,4108.611867278582,No
20,Female,0,53,Two year,DSL,79.44774227995882,3526.1621453667467,No
21,Female,0,65,One year,Fiber optic,29.834413692322045,18.8,No
22,Female,0,17,One year,Fiber optic,28.67035438886076,2077.3247840452054,No
23,Female,0,43,Month-to-month,DSL,68.51297924543563,1014.8161390583148,No
24,Female,0,47,One year,Fiber optic,33.08896912848745,2850.861184198845,No
25,Female,0,34,One year,Fiber optic,60.79415871958731,1337.3676169109694,No
26,Male,0,38,One year,No,43.734317554301526,1653.7068713725687,No
27,Male,0,2,Month-to-month,No,38.86392252848053,3319.170828518591,Yes
28,Female,0,18,Two year,No,18.25,1299.7750346531534,No
29,Male,0,17,Two year,Fiber optic,69.00085089992226,2554.5264286747124,Yes
30,Female,0,4,Two year,Fiber optic,27.259581237400837,18.8,No
31,Male,1,54,Month-to-month,DSL,59.735909673731356,392.7782536617069,Yes
32,Male,0,12,Month-to-month,Fiber optic,49.38564255970819,3765.594723281908,No
33,Male,1,33,Month-to-month,DSL,58.58410743313351,18.8,No
34,Male,1,17,One year,DSL,60.29477124220085,5101.813025848392,No
35,Male,1,67,Two year,DSL,70.62821035263973,4486.988939112793,Yes
36,Female,1,71,Month-to-month,Fiber optic,42.89444502510757,1671.1909665200437,No
37,Male,1,42,Two year,DSL,102.20516402612839,8684.8,No
38,Male,0,64,One year,No,18.25,5095.872707404233,No
39,Female,0,40,Month-to-month,DSL,57.9796073323304,127.93263780480447,No
40,Male,0,37,Month-to-month,No,89.97055238996711,3969.830405684309,No
41,Male,0,37,Month-to-month,DSL,79.15085384537838,2428.24570828057,Yes
42,Male,0,12,One year,Fiber optic,35.457449146489225,518.9704021125744,No
43,Male,0,21,Month-to-month,Fiber optic,40.47181066106047,18.8,Yes
44,Male,0,28,One year,Fiber optic,34.49554396426922,4533.428296857067,No
45,Male,1,8,One year,Fiber optic,82.83675168299811,924.0555771617132,Yes
46,Male,0,67,Month-to-month,Fiber optic,42.52829577168319,2048.14817948604,No
47,Female,0,16,Month-to-month,Fiber optic,,191.95524663868673,No
48,Female,0,36,One year,Fiber optic,72.75547256368624,583.6741140813929,No
49,Female,0,63,Month-to-month,Fiber optic,118.75,1991.3784326380444,Yes
50,Male,1,66,Two year,DSL,74.22886292003128,3158.6210753129276,No
51,Male,0,3,Month-to-month,DSL,40.38456515601105,18.8,No
52,Female,0,39,Month-to-month,DSL,20.849477111801384,2317.3402649118557,Yes
53,Female,0,15,One year,No,56.49683328940386,588.2897854823095,No
54,Female,0,10,Two year,Fiber optic,61.21551614293771,5456.75377271821,Yes
55,Male,0,25,Month-to-month,DSL,18.25,8684.8,No
56,Female,0,71,Month-to-month,Fiber optic,43.3129897751803,1464.873706794881,No
57,Male,0,64,One year,Fiber optic,73.75031153910933,18.8,No
58,Female,0,1,Month-to-month,DSL,48.77609432498814,2543.8432138354715,No
59,Female,1,44,Month-to-month,No,93.9555759497457,1813.4971393683977,No
60,Male,0,42,One year,Fiber optic,18.25,6746.080570636924,Yes
61,Male,0,2,One year,Fiber optic,85.17417288661183,6055.49145208898,No
62,Male,0,33,Two year,No,92.30808121993118,4239.939683371815,No
63,Male,0,64,Month-to-month,Fiber optic,93.59054392283025,949.5512119721166,No
64,Male,1,63,Month-to-month,Fiber optic,18.25,3814.8190389657007,No
65,Male,0,6,One year,Fiber optic,74.26803915530726,,Yes
66,Female,1,34,One year,Fiber optic,44.6705010325024,2825.8383786764193,No
67,Male,0,21,One year,No,22.475112496314672,18.8,No
68,Male,0,47,Month-to-month,Fiber optic,52.34258147829137,4685.028236935963,No
69,Male,0,31,Month-to-month,DSL,37.560162443785636,2523.293671953259,No
70,Female,0,25,Two year,No,92.51458909173247,2050.493506463993,No
71,Female,0,5,Month-to-month,Fiber optic,80.24320662470844,919.045382309997,Yes
72,Male,0,45,Month-to-month,DSL,30.111421509923076,480.6650117854465,No
73,Male,0,54,Month-to-month,Fiber optic,43.00093845368903,2997.907945178173,No
74,Male,0,54,Two year,Fiber optic,53.341007488939624,18.8,Yes
75,Male,0,56,Two year,No,62.62060506573129,4068.004189366996,No
76,Male,0,62,Month-to-month,No,95.0919860715938,18.8,No
77,Male,0,0,Month-to-month,DSL,85.59254802706705,18.8,Yes
78,Female,1,20,Month-to-month,No,66.34689826614269,6407.4147858883625,No
79,Male,0,19,Month-to-month,Fiber optic,56.95446961816284,334.57474618291917,No
80,Male,0,28,Month-to-month,Fiber optic,18.25,642.5873399918376,Yes
81,Male,0,42,Month-to-month,Fiber optic,103.6891285463943,4849.863858064296,No
82,Male,0,44,One year,DSL,51.34239240424372,6481.1404205707095,No
83,Female,0,64,Month-to-month,Fiber optic,111.60069123683033,18.8,No
84,Male,1,2,Two year,DSL,70.70288969316825,112.32317547198318,No
85,Female,1,19,One year,Fiber optic,118.75,278.84978898408826,No
86,Male,1,36,Month-to-month,No,83.05027815432612,4397.260567668352,No
87,Male,0,37,Month-to-month,No,21.696209100251544,5993.273401888323,No
88,Male,0,44,Two year,DSL,46.30609404413751,18.8,No
89,Female,0,41,Two year,DSL,59.70903768377385,5484.8129358359865,No
90,Female,0,45,Month-to-month,No,38.499135098039446,672.3287032759611,Yes
91,Male,0,59,Month-to-month,Fiber optic,53.45046940282047,3040.6544980746667,Yes
92,Male,0,12,Two year,No,23.655131326678507,18.8,Yes
93,Male,0,30,Month-to-month,Fiber optic,64.97221056108359,2002.7056828231925,No
94,Male,0,67,Month-to-month,Fiber optic,71.94609966522928,2027.218589911225,No
95,Male,0,61,Two year,DSL,34.57630684309582,1564.85127788959,No
96,Male,0,48,Two year,DSL,118.75,3151.3442436704336,No
97,Male,0,17,One year,DSL,66.71174916454181,18.8,No
98,Female,1,52,Month-to-month,DSL,40.21609992970035,,No
99,Female,0,17,Month-to-month,Fiber optic,18.25,3271.2182804552394,No
100,Male,0,50,One year,Fiber optic,66.60428097085477,5320.052059991001,No
101,Male,0,40,One year,Fiber optic,56.95929516231807,2227.3041692874067,Yes
102,Male,0,66,Month-to-month,No,88.36953130932193,3420.317972665283,No
103,Male,0,64,Two year,Fiber optic,60.484555024343756,3996.8093033337727,No
104,Male,0,5,Month-to-month,Fiber optic,28.869064653711312,4160.924757443492,No
105,Male,0,36,Month-to-month,No,115.0886207149452,118.31297125417723,No
106,Female,0,11,Month-to-month,Fiber optic,77.91230887316628,518.2948183556878,No
107,Female,0,1,One year,DSL,57.1513277808894,715.29097012395,No
108,Female,0,52,One year,Fiber optic,69.75561979663712,6649.284192825723,No
109,Male,0,24,One year,Fiber optic,79.06866289250591,3430.5652001635344,Yes
110,Female,1,27,Month-to-month,Fiber optic,21.791415921807598,3328.8734223924484,No
111,Male,0,44,Two year,DSL,69.54659602088059,3108.8902167143515,No
112,Female,1,36,Month-to-month,DSL,51.25128345385386,18.8,No
113,Male,0,16,Month-to-month,Fiber optic,80.06972956745552,6670.93960678077,Yes
114,Female,0,68,One year,DSL,42.52052406935102,3364.8389447632526,No
115,Male,0,55,Month-to-month,Fiber optic,46.59847416157781,3917.6808152761223,Yes
116,Female,1,57,Month-to-month,Fiber optic,114.85242006677814,18.8,No
117,Female,0,3,Month-to-month,Fiber optic,101.85045393555231,4045.6729694511996,Yes
118,Female,1,54,Month-to-month,DSL,18.25,1471.8225880107975,No
119,Male,0,48,Month-to-month,DSL,99.61853567217578,18.8,Yes
120,Male,0,37,Month-to-month,No,62.583074009641514,117.77153313450708,No
121,Male,0,44,Month-to-month,Fiber optic,43.483719906739736,18.8,No
122,Male,0,29,Month-to-month,No,34.484040455199725,18.8,No
123,Male,0,36,One year,Fiber optic,36.23155938877235,2416.2013609452997,No
124,Female,0,55,Month-to-month,Fiber optic,44.3339280627717,1402.5955207340787,No
125,Male,0,26,One year,Fiber optic,30.873309231176506,3036.001174657704,No
126,Male,0,31,One year,No,24.026550201713462,6076.761323840098,Yes
127,Male,0,10,Two year,No,33.48455745959828,1985.5445849204534,Yes
128,Female,0,57,Two year,No,74.53415503747718,18.8,No
129,Female,0,34,Month-to-month,No,66.30771347198099,1730.7226926326477,No
130,Female,0,16,Month-to-month,Fiber optic,81.53127919171087,4983.231792877577,Yes
131,Male,0,29,One year,DSL,62.802267839777365,2084.2611553221836,No
132,Male,1,17,One year,Fiber optic,25.468952147591764,5744.463261265397,Yes
133,Female,0,29,Month-to-month,DSL,79.68267179715754,3305.365650050297,No
