Id,LotArea,LotFrontage,YearBuilt,OverallQual,GrLivArea,BedroomAbvGr,FullBath,GarageArea,TotalBsmtSF,Neighborhood,GarageType,SalePrice
1,189358,56.9959602959526,1909,2,1848,1,2,394.7429852372946,930.9499931150866,NridgHt,Detchd,78071
2,32747,62.90349478101914,1966,6,1789,1,2,468.71417987548585,1324.6647658788909,NoRidge,Detchd,219135
3,121145,86.99511665188673,1910,2,1330,2,2,158.50002505464613,1180.1395100618065,StoneBr,,113203
4,30321,66.11968174685211,1925,3,1463,5,1,236.7240314095032,1588.0970144634327,NoRidge,Attchd,266472
5,135785,64.71871582307932,1981,1,2004,4,2,113.75332885741534,262.22703210595,StoneBr,BuiltIn,461088
6,110159,,1983,3,850,3,2,703.5836755852791,1072.9008304342522,NoRidge,Attchd,252647
7,162067,71.86641925534072,1923,7,1392,1,3,374.6553765912585,738.7676153718721,Timber,Attchd,169512
8,73244,86.65004609696247,1906,5,1806,3,1,756.9950667981886,829.763615199253,NoRidge,Detchd,159404
9,142216,86.79557735452038,1908,4,954,3,3,0.0,1302.7293841119674,NoRidge,Detchd,166406
10,139025,104.12070119883637,1949,8,334,4,2,804.2879212884391,426.5694427668499,Timber,Detchd,133455
11,118941,74.02280765270507,1932,8,2274,1,2,458.443101389156,1115.4465487037085,NridgHt,Attchd,200140
12,209201,30.142612117359576,1982,1,1504,2,2,545.7273412385808,1070.3629678913082,NridgHt,Attchd,114740
13,113545,90.59076639098424,1985,9,854,5,2,245.53025574080186,596.0721352884548,Timber,BuiltIn,84960
14,12763,102.39578702091019,1880,9,1998,3,1,585.840042631188,1126.3940018230555,Timber,Attchd,197532
15,57980,129.08068041243575,1890,2,1405,4,1,392.9823727441849,722.6781559878933,NoRidge,,182464
16,128426,104.84094113864377,1992,2,971,4,2,217.49379648232014,2021.6953535429611,Timber,Detchd,143968
17,198413,58.232838153746044,1976,8,1709,5,2,214.559400478986,1584.6633525535308,Timber,Detchd,108308
18,164593,74.49241665972602,1951,6,1542,5,1,210.7750065713878,1086.52712223143,StoneBr,Attchd,203152
19,119555,63.50495808303382,1897,3,1193,1,2,554.3712735005215,867.4623973534074,StoneBr,Detchd,121752
20,150530,,1911,2,1110,3,2,,1278.27809826578,NridgHt,BuiltIn,171140
21,198980,67.27635061992088,1896,5,976,3,1,122.01993627809492,1393.9219279204272,Timber,Attchd,366518
22,42628,100.85783445119354,1970,8,1901,5,2,552.0300960040696,1168.7398069167732,NoRidge,Attchd,234753
23,88998,31.85988917172807,1989,6,859,2,1,8.035882034629878,611.3502315316227,NridgHt,Attchd,104627
24,44063,45.938904822651466,1940,3,1096,3,1,757.4214287567365,964.9909706369198,NridgHt,Attchd,108648
