CustomerID,Genre,Age,Annual_Income,Spending_Score
1,Male,61,90,9
2,Female,39,60,30
3,Female,23,42,44
4,Female,53,66,62
5,Female,44,79,43
6,Male,64,53,28
7,Male,32,136,94
8,Female,34,32,8
9,Female,20,101,99
10,Female,27,36,51
11,Male,42,82,99
12,Female,38,126,90
13,Male,57,25,30
14,Female,26,96,99
15,Male,41,78,11
16,Female,49,133,20
17,Female,20,126,31
18,Female,50,85,34
19,Male,60,99,12
20,Male,62,71,48
21,Female,29,49,28
22,Male,46,135,67
23,Female,38,51,63
24,Male,56,64,48
25,Female,51,135,42
26,Male,50,44,52
27,Male,49,31,5
28,Female,37,47,77
29,Male,20,30,12
30,Male,21,29,59
31,Female,34,27,65
32,Female,67,117,52
33,Male,34,17,43
34,Female,36,38,83
35,Female,21,37,93
36,Male,46,73,63
37,Female,34,123,50
38,Female,39,126,39
39,Male,19,69,42
40,Male,59,79,89
41,Female,29,46,80
42,Female,62,111,17
43,Male,28,74,92
44,Female,57,126,43
45,Female,46,44,49
46,Male,37,80,5
47,Female,22,32,1
48,Female,42,73,67
49,Male,51,67,24
50,Female,29,78,29
51,Female,45,135,15
52,Male,51,133,4
53,Male,23,44,44
54,Male,36,32,65
55,Male,29,19,79
56,Male,42,83,88
57,Female,30,22,31
58,Female,34,23,20
59,Male,29,46,10
60,Male,20,134,11
61,Male,41,28,82
62,Male,25,27,98
63,Male,65,32,28
64,Male,53,82,38
65,Female,43,128,80
66,Male,62,36,24
67,Female,25,34,39
68,Male,49,29,51
69,Male,49,21,76
70,Female,18,91,50
71,Male,20,112,7
72,Female,18,119,81
73,Male,32,44,68
74,Female,67,19,53
75,Female,37,15,37
76,Male,20,74,97
77,Male,32,45,83
78,Female,54,129,54
79,Male,38,34,90
80,Female,59,97,55
81,Male,56,78,75
82,Male,40,132,31
83,Male,57,78,65
84,Female,52,43,93
85,Male,35,123,89
86,Male,34,116,59
87,Female,48,24,47
88,Male,65,43,49
89,Male,43,45,18
90,Male,39,89,3
91,Female,62,101,18
92,Female,53,44,58
93,Male,52,39,71
94,Male,28,94,92
95,Female,44,72,81
96,Female,51,71,25
97,Male,35,101,18
98,Male,44,77,52
99,Male,21,111,43
100,Female,34,129,67
101,Female,23,51,89
102,Male,59,72,7
103,Male,28,42,74
104,Male,22,41,44
105,Male,35,84,44
106,Male,42,116,51
107,Female,27,51,83
108,Male,58,20,79
109,Female,33,103,85
110,Male,27,91,21
111,Female,27,76,37
112,Female,53,111,28
113,Male,38,47,32
114,Female,31,103,57
115,Male,25,92,41
116,Female,18,54,54
117,Female,33,55,27
118,Male,43,133,87
119,Female,66,56,74
120,Female,59,116,40
121,Female,23,23,41
122,Female,56,32,70
123,Male,67,29,24
124,Female,19,18,18
125,Female,26,48,74
126,Female,22,76,56
127,Female,57,52,15
128,Male,22,95,98
129,Male,64,85,72
130,Female,25,110,35
131,Female,22,133,27
132,Female,22,37,89
133,Female,69,34,3
134,Female,34,125,21
135,Female,26,70,39
136,Female,51,67,32
137,Female,50,16,50
138,Female,39,35,85
139,Female,38,90,9
140,Male,60,56,50
141,Male,32,71,1
142,Male,18,136,4
143,Male,24,63,4
144,Male,40,105,90
145,Female,68,128,34
146,Female,64,126,27
147,Male,23,24,15
148,Female,37,86,32
149,Female,43,75,41
150,Male,59,35,71
151,Female,29,74,61
152,Male,30,135,63
153,Female,64,100,61
154,Male,68,27,14
155,Female,66,62,23
156,Female,30,54,65
157,Male,19,77,32
158,Female,49,90,41
159,Male,67,95,26
160,Female,48,126,48
161,Female,28,23,73
162,Female,54,71,16
163,Male,21,65,31
164,Male,51,127,66
165,Female,33,134,32
166,Male,48,54,10
167,Female,42,90,25
168,Female,56,87,82
169,Female,25,78,98
170,Male,25,108,93
171,Female,51,84,45
172,Female,32,78,24
173,Female,22,39,3
174,Female,36,42,62
175,Male,27,24,79
176,Male,26,119,67
177,Male,46,42,55
178,Female,69,107,95
179,Male,57,50,10
180,Female,54,25,55
181,Female,36,35,22
182,Female,30,132,14
183,Male,63,116,73
184,Female,57,40,82
185,Female,33,32,8
186,Male,47,82,15
187,Male,22,122,15
188,Female,50,55,52
189,Male,36,29,70
190,Male,36,37,54
191,Male,34,55,76
192,Male,41,20,42
193,Female,45,121,19
194,Female,59,85,40
195,Female,54,135,69
196,Female,39,124,27
197,Female,56,74,74
198,Female,33,126,43
199,Male,52,93,52
200,Female,44,66,46
