PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,1,1,Passenger_0,male,32.98512807217121,4,3,28.580960745598656,,C
2,1,3,Passenger_1,male,33.23857710553041,0,0,34.617511053213576,,S
3,1,1,Passenger_2,male,52.74956139751963,1,3,2.6145457745545957,,S
4,0,1,Passenger_3,male,15.600748899712345,3,2,25.163292363277137,,S
5,0,1,Passenger_4,female,,4,0,39.537123947418486,,C
6,0,3,Passenger_5,male,,1,0,5.85943777001423,,S
7,0,3,Passenger_6,male,,2,1,48.544105791171575,E27,S
8,0,3,Passenger_7,male,54.405617079678066,4,0,28.04876694870217,,C
9,0,1,Passenger_8,male,12.318982766712285,4,1,97.31793635553645,,S
10,1,3,Passenger_9,female,18.27172427323216,3,1,1.3871491367076,,C
11,1,3,Passenger_10,male,,4,1,9.866515289902017,,S
12,1,3,Passenger_11,male,5.156501342864985,3,2,29.4458558451918,,S
13,0,2,Passenger_12,male,40.28892197002334,1,3,11.256722211348327,,S
14,1,2,Passenger_13,male,9.917659165215117,2,1,40.10392512604029,,C
15,1,3,Passenger_14,male,,2,0,45.53536847711513,,S
16,0,1,Passenger_15,female,,4,0,3.4611182732350105,,S
17,1,3,Passenger_16,male,5.151428172490721,4,1,23.079911793442427,E35,S
18,0,3,Passenger_17,female,22.071088710575278,1,1,22.754824799674097,B13,S
19,1,3,Passenger_18,male,43.305517662418296,3,0,14.748623237992216,,Q
20,0,3,Passenger_19,male,29.266584491087972,2,1,86.46213868054961,,S
21,0,3,Passenger_20,female,24.999988979588007,3,3,56.236629764098616,B24,S
22,0,1,Passenger_21,female,,1,3,38.23083973594815,,Q
23,1,1,Passenger_22,male,59.87335353806303,2,2,40.09299852241759,E78,S
24,1,3,Passenger_23,male,39.11160198179281,2,1,19.819815815336828,,S
25,0,3,Passenger_24,female,20.980036956582033,0,2,81.22361842278521,D29,S
26,0,2,Passenger_25,male,23.845997523870192,1,2,37.95577322669469,,C
27,1,1,Passenger_26,male,,1,2,41.77813047536906,B27,S
28,1,3,Passenger_27,female,31.11144391155673,0,1,63.3044566678903,,S
29,0,3,Passenger_28,male,6.885698196331418,3,2,10.249724061720784,,S
30,1,3,Passenger_29,male,,0,3,52.65384112398717,A13,S
31,1,3,Passenger_30,male,57.77803663895935,1,2,6.950781820769064,,S
32,1,3,Passenger_31,male,,3,3,13.556551813312463,,S
33,0,3,Passenger_32,female,,2,3,13.084372360647292,,S
34,0,3,Passenger_33,male,37.07712377684506,0,1,122.9084039120837,,S
35,1,3,Passenger_34,female,52.38746823232228,3,2,62.13374964391816,C76,S
36,0,3,Passenger_35,male,51.68692489365594,3,1,38.652158911516416,,C
37,1,3,Passenger_36,male,15.64738951811281,3,3,41.55172554944686,C18,C
38,1,3,Passenger_37,male,,0,0,26.42248254989219,,C
39,0,2,Passenger_38,female,27.48657913901722,2,2,94.05361697629445,,S
40,0,1,Passenger_39,female,40.992305470791614,3,1,21.942161322273787,,S
41,0,1,Passenger_40,male,,0,0,15.323877301829468,,S
42,1,1,Passenger_41,male,0.5,1,2,5.695149694084855,,Q
43,1,1,Passenger_42,male,,0,2,49.367702972259835,C21,C
44,0,1,Passenger_43,female,32.47981708054809,0,1,42.42973702311048,,C
45,0,2,Passenger_44,male,9.61889045977616,0,0,15.522714971170696,,S
46,0,3,Passenger_45,male,37.8343081381238,3,1,0.8165184305405144,E82,S
47,1,3,Passenger_46,male,8.363786615821574,0,2,58.44269811554053,,S
48,1,1,Passenger_47,male,18.52185333616125,1,2,0.36747741133643375,A80,S
49,1,3,Passenger_48,male,48.47836687580188,3,3,38.92422658112761,,S
50,0,3,Passenger_49,male,,1,2,112.48528505407398,B65,Q
51,0,3,Passenger_50,female,37.735537428823456,4,2,18.420831732382684,,S
52,1,3,Passenger_51,male,5.1499679492783805,0,0,8.57102979355862,C32,S
53,0,1,Passenger_52,male,58.83840519471198,3,0,39.05096845183354,,S
54,0,1,Passenger_53,male,25.436249061178394,3,3,54.36702723229841,,Q
55,0,2,Passenger_54,male,31.034491297268065,0,3,25.299403622044817,,S
56,0,1,Passenger_55,female,32.20651515168551,2,3,109.19415156489866,,S
57,1,3,Passenger_56,male,,2,1,1.6976444173619725,,Q
58,0,2,Passenger_57,male,,1,1,22.48910940571436,,S
59,1,2,Passenger_58,male,,0,3,40.5586959151929,,S
60,1,1,Passenger_59,male,20.477236439061006,0,1,63.52491175778173,,S
61,0,2,Passenger_60,male,6.046198834904217,4,2,6.3213939251185565,,S
62,1,3,Passenger_61,male,43.51971080180194,2,3,51.50257028492936,,C
63,1,3,Passenger_62,male,24.76957822960573,2,3,25.745330796794555,,C
64,0,1,Passenger_63,female,33.095285958575275,0,1,16.163142192088937,,S
65,1,1,Passenger_64,male,32.21783586219283,1,0,4.519529923663767,,S
66,1,1,Passenger_65,male,25.012068186734414,0,3,64.14955873933616,,S
67,1,1,Passenger_66,female,,1,1,5.475598844041952,,S
68,1,3,Passenger_67,male,29.03829486319387,2,1,11.864200903117839,,S
69,1,1,Passenger_68,male,,4,0,10.961742096887066,E22,S
70,1,3,Passenger_69,male,24.094660957433547,3,3,65.63704331840992,,S
71,1,3,Passenger_70,male,36.696326681569545,2,0,35.74039186323614,,C
72,1,1,Passenger_71,male,,1,2,50.975393865940504,,S
73,0,2,Passenger_72,male,,0,0,9.22579623018324,,
74,0,3,Passenger_73,female,42.712755102826776,2,0,31.37579439925012,,S
75,0,3,Passenger_74,male,5.019862995805436,4,1,27.13724038792115,,C
76,1,3,Passenger_75,male,45.71789283662986,1,0,57.23988077417336,,S
77,1,3,Passenger_76,male,11.229129552076323,0,2,75.69238723872238,,S
78,1,3,Passenger_77,male,,3,1,0.39140062108707996,,S
79,0,2,Passenger_78,male,44.6039614923738,1,2,35.86940802846515,,C
80,0,3,Passenger_79,male,,0,0,1.7032826894791278,,S
81,0,3,Passenger_80,male,41.13377924798998,3,2,25.471187435836466,,C
82,1,3,Passenger_81,female,38.36126743593905,0,2,10.853173458236352,E92,Q
83,0,3,Passenger_82,male,47.70776058766441,3,0,11.72489486494278,,C
84,0,3,Passenger_83,female,,3,0,13.931035189731748,,S
85,1,2,Passenger_84,female,23.347579680489815,3,1,31.07171216442436,C97,
86,0,1,Passenger_85,male,38.56118287310851,0,1,13.009300313050687,,S
87,1,3,Passenger_86,female,8.32827393623155,3,3,42.220163327768596,,Q
88,0,3,Passenger_87,female,28.88933129727101,1,1,16.588796120762535,B98,S
